,Unnamed: 0,Основное средство,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость
0,"21.34, Машины и оборудование - иное движимое имущество",,,,,,,,,,,591208.25,163.0,0.0,591208.25
1,1,,,,,,,,,,,591208.25,163.0,0.0,591208.25
2,,,,,,,,,,,,591208.25,163.0,0.0,591208.25
3,Кузнецов Максим Сергеевич,,,,,,,,,,,591208.25,163.0,0.0,591208.25
4,,,,,,,,,,,,591208.25,163.0,0.0,591208.25
5,1,Тележка платформенная ТПСР-2-ФЛ-2,11013404000312.0,330.28.22.14.159,4.0,,16.04.2019,Введено в эксплуатацию,,-,-,7225.69,1.0,0.0,7225.69
6,2,Камера видеонаблюдения R Vi-IPC32MS-IR V.2 (2.8 мм),11013404000341.0,320.26.30.13,4.0,,19.11.2019,Введено в эксплуатацию,,-,-,9020.0,1.0,0.0,9020.0
7,3,"Чайник BOSCH TWK3A013, 1,7 л, 2400 Вт, закрытый нагревательный элемент, пластик,",11013403011085.0,330.28.29,3.0,,16.11.2022,Введено в эксплуатацию,,-,-,3293.45,1.0,0.0,3293.45
8,4,"Чайник BOSCH TWK3A013, 1,7 л, 2400 Вт, закрытый нагревательный элемент, пластик,",11013403011086.0,330.28.29,3.0,,16.11.2022,Введено в эксплуатацию,,-,-,3293.45,1.0,0.0,3293.45
9,5,"Чайник BOSCH TWK3A013, 1,7 л, 2400 Вт, закрытый нагревательный элемент, пластик,",11013403011087.0,330.28.29,3.0,,16.11.2022,Введено в эксплуатацию,,-,-,3293.45,1.0,0.0,3293.45
10,6,"Чайник BOSCH TWK3A013, 1,7 л, 2400 Вт, закрытый нагревательный элемент, пластик,",11013403011088.0,330.28.29,3.0,,16.11.2022,Введено в эксплуатацию,,-,-,3293.45,1.0,0.0,3293.45
11,7,"Чайник BOSCH TWK3A013, 1,7 л, 2400 Вт, закрытый нагревательный элемент, пластик,",11013403011089.0,330.28.29,3.0,,16.11.2022,Введено в эксплуатацию,,-,-,3293.45,1.0,0.0,3293.45
12,8,"Считыватель карт доступа ""HID multiCLASS RP10""",11013406000093.0,330.26.80.11,6.0,,18.12.2019,Введено в эксплуатацию,,-,-,7947.5,1.0,0.0,7947.5
13,9,"Считыватель карт доступа ""HID multiCLASS RP10""",11013406000094.0,330.26.80.11,6.0,,18.12.2019,Введено в эксплуатацию,,-,-,7947.5,1.0,0.0,7947.5
