,Unnamed: 0,Основное средство,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость
0,"21.34, Машины и оборудование - иное движимое имущество",,,,,,,,,,,592785.1,161.0,0.0,592785.1
1,1,,,,,,,,,,,592785.1,161.0,0.0,592785.1
2,,,,,,,,,,,,592785.1,161.0,0.0,592785.1
3,Кузнецов Максим Сергеевич,,,,,,,,,,,592785.1,161.0,0.0,592785.1
4,,,,,,,,,,,,592785.1,161.0,0.0,592785.1
5,1,Тележка платформенная ТПСР-2-ФЛ-2,11013404000312,330.28.22.14.159,4.0,,16.04.2019,Введено в эксплуатацию,,-,-,7225.69,1.0,0.0,7225.69
6,2,Камера видеонаблюдения R Vi-IPC32MS-IR V.2 (2.8 мм),11013404000341,320.26.30.13,4.0,,19.11.2019,Введено в эксплуатацию,,-,-,9020.0,1.0,0.0,9020.0
7,3,Электрочайник BOSCH TWK3A013,11013405000006,330.28.93.15.125,5.0,,17.04.2020,Введено в эксплуатацию,,-,-,1956.5,1.0,0.0,1956.5
8,4,Электрочайник BOSCH TWK3A013,11013405000007,330.28.93.15.125,5.0,,17.04.2020,Введено в эксплуатацию,,-,-,1956.5,1.0,0.0,1956.5
9,5,Электрочайник BOSCH TWK3A013,11013405000008,330.28.93.15.125,5.0,,17.04.2020,Введено в эксплуатацию,,-,-,1956.5,1.0,0.0,1956.5
10,6,Электрочайник BOSCH TWK3A013,11013405000009,330.28.93.15.125,5.0,,17.04.2020,Введено в эксплуатацию,,-,-,1956.5,1.0,0.0,1956.5
11,7,Электрочайник BOSCH TWK3A013,11013405000010,330.28.93.15.125,5.0,,17.04.2020,Введено в эксплуатацию,,-,-,1956.5,1.0,0.0,1956.5
12,8,"Микроволновая печь SAMSUNG ME83XR/BWT, мощность 800 Вт, черная",11013404000348,330.28.21.13.129,4.0,,17.04.2020,Введено в эксплуатацию,,-,-,7848.66,1.0,0.0,7848.66
13,9,"Микроволновая печь SAMSUNG ME83XR/BWT, мощность 800 Вт, черная",11013404000349,330.28.21.13.129,4.0,,17.04.2020,Введено в эксплуатацию,,-,-,7848.66,1.0,0.0,7848.66
14,10,"Микроволновая печь SAMSUNG ME83XR/BWT, мощность 800 Вт, черная",11013404000350,330.28.21.13.129,4.0,,17.04.2020,Введено в эксплуатацию,,-,-,7848.66,1.0,0.0,7848.66
15,11,Термопот SUPRA TPS-5005ST,11013405000011,330.28.93.15.125,5.0,,17.04.2020,Введено в эксплуатацию,,-,-,3726.36,1.0,0.0,3726.36
16,12,Термопот SUPRA TPS-5005ST,11013405000012,330.28.93.15.125,5.0,,17.04.2020,Введено в эксплуатацию,,-,-,3726.36,1.0,0.0,3726.36
17,13,Термопот SUPRA TPS-5005ST,11013405000013,330.28.93.15.125,5.0,,17.04.2020,Введено в эксплуатацию,,-,-,3726.36,1.0,0.0,3726.36
18,14,Термопот SUPRA TPS-5005ST,11013405000014,330.28.93.15.125,5.0,,17.04.2020,Введено в эксплуатацию,,-,-,3726.36,1.0,0.0,3726.36
19,15,"Рециркулятор бактерицидный ОВУ-01"" Солнечный бриз""",11013406003655,330.26.60.13,6.0,,11.11.2020,Введено в эксплуатацию,,-,-,9287.85,1.0,0.0,9287.85
20,16,"Рециркулятор бактерицидный ОВУ-01"" Солнечный бриз""",11013406003656,330.26.60.13,6.0,,11.11.2020,Введено в эксплуатацию,,-,-,9287.85,1.0,0.0,9287.85
21,17,"Рециркулятор бактерицидный ОВУ-01"" Солнечный бриз""",11013406003657,330.26.60.13,6.0,,11.11.2020,Введено в эксплуатацию,,-,-,9287.85,1.0,0.0,9287.85
22,18,"Считыватель карт доступа ""HID multiCLASS RP10""",11013406000093,330.26.80.11,6.0,,18.12.2019,Введено в эксплуатацию,,-,-,7947.5,1.0,0.0,7947.5
